feature_index,feature,vip
71,ZTM_p75,1.8061670133149212
427,d1snv_R748,1.8050791472116465
428,d1snv_R751,1.8007093911657712
214,snv_R721,1.7910784853206587
213,snv_R718,1.7898284490884557
426,d1snv_R745,1.7849998710205732
212,snv_R715,1.7795807300910917
215,snv_R724,1.7752659631458754
429,d1snv_R754,1.7752049241394234
68,ZTM_mean,1.7682239667167157
425,d1snv_R742,1.765512919080077
211,snv_R712,1.7634295319230515
424,d1snv_R739,1.7510757272266295
210,snv_R709,1.7403704383252652
216,snv_R727,1.7383142114246037
423,d1snv_R736,1.7379352523261224
422,d1snv_R733,1.7194918182827843
430,d1snv_R757,1.717335012726699
514,d1_red_peak_wl,1.7137360556670689
209,snv_R706,1.708429538310024
421,d1snv_R730,1.697993188999857
92,REP_mean,1.6875988820968821
70,ZTM_p25,1.6776656322191952
420,d1snv_R727,1.6703964460806946
208,snv_R703,1.6648080923438304
27,NDRE_p75,1.6621962742551573
94,REP_p25,1.6561139847747528
217,snv_R730,1.6515749467741792
24,NDRE_mean,1.638247507995446
419,d1snv_R724,1.6331265062817877
407,d1snv_R688,1.626546639479755
102,FLAVI_p25,1.6250466892606186
406,d1snv_R685,1.6237192587586051
408,d1snv_R691,1.6163620187251204
405,d1snv_R682,1.6128292336620624
207,snv_R700,1.6006038186274265
431,d1snv_R760,1.598257034965369
404,d1snv_R679,1.5976146162282194
409,d1snv_R694,1.5860265340786706
95,REP_p75,1.5850765498046044
418,d1snv_R721,1.5803319118779031
26,NDRE_p25,1.5746888954924303
403,d1snv_R676,1.5520135492633638
100,FLAVI_mean,1.5406259140996024
64,RVSI_mean,1.5280845205543971
66,RVSI_p25,1.5206622061370967
410,d1snv_R697,1.5153649568736582
206,snv_R697,1.5064808783898125
218,snv_R733,1.5038681193624586
417,d1snv_R718,1.5018734519064487
12,R700_mean,1.5011296118224968
103,FLAVI_p75,1.4995555819785757
15,R700_p75,1.48225602548058
14,R700_p25,1.4782024059677052
67,RVSI_p75,1.4776450616246273
69,ZTM_std,1.419835607666388
432,d1snv_R763,1.3806018297690463
142,snv_R508,1.3801122424715326
416,d1snv_R715,1.3768853392932976
205,snv_R694,1.367779908595073
411,d1snv_R700,1.3668264368262164
141,snv_R505,1.3468398857823918
140,snv_R502,1.296096896285166
143,snv_R510,1.2939412674902278
257,snv_R850,1.2913699729202253
184,snv_R631,1.2751988178701825
277,snv_R911,1.2751498824026726
183,snv_R628,1.2749154310047766
182,snv_R625,1.2723617553709996
219,snv_R736,1.271016054716025
269,snv_R887,1.2706081519270258
268,snv_R884,1.268858598048711
181,snv_R622,1.2679386955920433
279,snv_R917,1.2655090471898651
180,snv_R619,1.2642793456760395
278,snv_R914,1.263442391180682
185,snv_R634,1.2624699706911109
276,snv_R908,1.2598304674286962
266,snv_R878,1.2595575668813503
256,snv_R847,1.2590911326413952
280,snv_R920,1.2585616889597504
274,snv_R902,1.2584282644601212
282,snv_R927,1.257938144394542
272,snv_R896,1.2578367135785222
281,snv_R924,1.2572417339166253
270,snv_R890,1.2559690871221818
139,snv_R499,1.2535806127285207
179,snv_R616,1.2533651107073445
263,snv_R869,1.2525364784683313
262,snv_R866,1.2487274916495086
271,snv_R893,1.2480333487353936
264,snv_R872,1.2472941342886792
261,snv_R862,1.246448067435516
283,snv_R930,1.2460755456437365
265,snv_R875,1.2447827736394788
267,snv_R881,1.2447744638446612
255,snv_R844,1.2435926838524627
284,snv_R933,1.2416400901358093
275,snv_R905,1.2408516416882347
258,snv_R853,1.239845274077673
285,snv_R936,1.2387532730451525
186,snv_R637,1.2339924344432096
178,snv_R613,1.233680595177061
273,snv_R899,1.2335478575652021
286,snv_R939,1.2321093811483803
13,R700_std,1.2312201743480973
254,snv_R841,1.2257380541279437
260,snv_R859,1.22342908141632
138,snv_R496,1.223134496823961
253,snv_R838,1.2220655779481555
259,snv_R856,1.2158421147152847
252,snv_R835,1.214104132537032
251,snv_R832,1.2090574201012891
398,d1snv_R661,1.206446429711725
249,snv_R826,1.2048034098004665
397,d1snv_R658,1.2043672818407687
137,snv_R493,1.2011562284365973
248,snv_R823,1.2008341058138636
177,snv_R610,1.1996535413058063
399,d1snv_R664,1.1989159884566216
250,snv_R829,1.1981680118590776
247,snv_R820,1.1955128910697421
396,d1snv_R655,1.1913379271661053
288,snv_R945,1.1910192915571771
287,snv_R942,1.1902574674309558
246,snv_R817,1.1886358822419651
187,snv_R640,1.187357919835169
136,snv_R490,1.185643626336129
204,snv_R691,1.1786084144625084
415,d1snv_R712,1.176025542640758
135,snv_R487,1.1743913948810947
134,snv_R484,1.1665386203292418
395,d1snv_R652,1.1629310066290857
76,PRI_mean,1.1624456562536332
245,snv_R814,1.1623065015852767
133,snv_R481,1.161453439614619
132,snv_R478,1.1582476228869665
400,d1snv_R667,1.157405451920817
131,snv_R476,1.15533406218885
176,snv_R607,1.1549971548479074
130,snv_R473,1.1529206945521102
289,snv_R948,1.1521308022477021
244,snv_R811,1.1513108345147431
129,snv_R470,1.149532805017748
128,snv_R467,1.1459619759357074
362,d1snv_R554,1.1440102597273973
127,snv_R464,1.141775914251519
30,NBI_p25,1.140656802842669
126,snv_R461,1.137046103559491
243,snv_R808,1.1322948886253819
125,snv_R458,1.131935489037353
290,snv_R951,1.1302071667777231
188,snv_R643,1.1279088748854251
124,snv_R455,1.127258954412376
242,snv_R805,1.124796719210178
78,PRI_p25,1.1232875914364169
123,snv_R452,1.1206978694420808
241,snv_R802,1.11619774643112
122,snv_R449,1.1143885723469038
292,snv_R957,1.1100278586168926
394,d1snv_R649,1.1087265670809372
79,PRI_p75,1.1086739912151844
121,snv_R446,1.1086075705135654
240,snv_R799,1.1043380852291727
120,snv_R444,1.1012128135013444
291,snv_R954,1.1008027327400172
175,snv_R605,1.0995647926975747
361,d1snv_R551,1.0949219430615023
119,snv_R441,1.094472878902943
412,d1snv_R703,1.091286055659308
239,snv_R796,1.088037352866115
118,snv_R438,1.0880172390841532
117,snv_R435,1.081860743343436
116,snv_R432,1.0739357811672863
238,snv_R793,1.0727510063371022
52,NDVI_mean,1.0701595072547285
115,snv_R429,1.0675622090899053
189,snv_R646,1.0641168714684008
433,d1snv_R766,1.0638441226022135
114,snv_R426,1.061511990935181
36,R670_R460_mean,1.059051977652943
113,snv_R423,1.0569690451184974
237,snv_R790,1.0557441357761361
112,snv_R420,1.0517705894888807
111,snv_R418,1.0492234090080323
293,snv_R960,1.0490909508077968
110,snv_R415,1.0449579640713593
363,d1snv_R557,1.042294589693732
109,snv_R412,1.0420300166933767
174,snv_R602,1.0398246618730576
108,snv_R409,1.0390132058108852
294,snv_R963,1.0364766950215818
107,snv_R406,1.0363124646049262
54,NDVI_p25,1.0360107533307046
72,CRI_mean,1.0344519547508177
106,snv_R403,1.031524340853681
39,R670_R460_p75,1.0262439700203814
105,snv_R400,1.0256970493298856
236,snv_R787,1.0254313786203402
393,d1snv_R646,1.022411456407145
8,R670_mean,1.0219073929002542
144,snv_R513,1.0165191948149825
18,R800_p25,1.0137374549008786
75,CRI_p75,1.01368368759612
235,snv_R784,1.0129217333129756
55,NDVI_p75,1.0128221081397295
104,snv_R397,1.0126990227522983
190,snv_R649,1.011038859687514
11,R670_p75,1.0099300367033497
295,snv_R967,1.001858461588053
74,CRI_p25,0.9995033594147495
220,snv_R739,0.9989419792314999
234,snv_R781,0.989593471087393
233,snv_R778,0.9810773857479078
173,snv_R599,0.9795147881316376
191,snv_R652,0.973081797408684
38,R670_R460_p25,0.9635830644655607
232,snv_R775,0.9627725041372804
203,snv_R688,0.9615871632708004
401,d1snv_R670,0.9591184447781209
308,d1snv_R397,0.9560999073438062
309,d1snv_R400,0.9509764674176738
297,snv_R973,0.9494474347067918
16,R800_mean,0.9490393283548446
80,mARI_mean,0.9450505470172519
10,R670_p25,0.9448243961977645
231,snv_R772,0.944213921293198
83,mARI_p75,0.9440176216688989
60,ARI_mean,0.9433395753187301
310,d1snv_R403,0.9421595655780574
62,ARI_p25,0.9418025924807568
81,mARI_std,0.9401412215508845
296,snv_R970,0.9395151115142225
192,snv_R655,0.9387710646686723
82,mARI_p25,0.938406175215462
298,snv_R976,0.9373997103440542
37,R670_R460_std,0.9368287793205576
9,R670_std,0.9356157171372462
63,ARI_p75,0.9352588707117573
364,d1snv_R560,0.9337444639375858
230,snv_R769,0.9291658517426477
229,snv_R766,0.9285422749297604
311,d1snv_R406,0.9258234411667958
172,snv_R596,0.9209733024915475
61,ARI_std,0.9209515643418924
77,PRI_std,0.9175428151305783
330,d1snv_R461,0.9117607769689733
392,d1snv_R643,0.9108351059890601
331,d1snv_R464,0.9089562027697105
299,snv_R979,0.9071524474781815
329,d1snv_R458,0.9053884235002932
6,R460_p25,0.9052931880252465
360,d1snv_R549,0.902527267744599
414,d1snv_R709,0.9014814320049346
101,FLAVI_std,0.9005782904007049
73,CRI_std,0.899329248167156
4,R460_mean,0.8954256214849899
332,d1snv_R467,0.8949785475965508
312,d1snv_R409,0.8927550833291208
328,d1snv_R455,0.8925963089941858
193,snv_R658,0.8914189606483257
228,snv_R763,0.890644788832555
339,d1snv_R487,0.8879962959061357
