feature_index,feature,vip
81,mARI_std,1.975979559837061
101,FLAVI_std,1.8341073300055986
21,FRI_std,1.7942997173259638
29,NBI_std,1.784047514770503
2,R410_p25,1.7730674530790542
89,WBI_std,1.7091629109898698
49,logNBI_std,1.6919415346608166
17,R800_std,1.6578402533296803
314,d1snv_R415,1.6230634535314978
74,CRI_p25,1.6053911433721755
61,ARI_std,1.5906554830244966
83,mARI_p75,1.5801101118836254
63,ARI_p75,1.5440363945437945
508,d1snv_R994,1.5364418894869163
45,FRI_x_NDRE_std,1.5319761476164786
507,d1snv_R991,1.5295790993492868
80,mARI_mean,1.5294227344590203
334,d1snv_R473,1.517436739332106
509,d1snv_R997,1.5155481887176923
60,ARI_mean,1.5029828833174503
510,d1snv_R1000,1.4941197590263877
82,mARI_p25,1.4937836298209428
47,FRI_x_NDRE_p75,1.4920777358199766
313,d1snv_R412,1.4778031644406027
511,d1snv_R1004,1.4762092511676523
62,ARI_p25,1.4721218081674663
333,d1snv_R470,1.4556203287373832
46,FRI_x_NDRE_p25,1.4553840777361815
0,R410_mean,1.450202987810131
19,R800_p75,1.4498977132543742
315,d1snv_R418,1.4280810609882733
72,CRI_mean,1.4080800661030617
335,d1snv_R476,1.404980668013486
48,logNBI_mean,1.3640223777887774
506,d1snv_R988,1.3590865464199453
56,GNDVI_mean,1.3536250938438121
58,GNDVI_p25,1.351564940317012
353,d1snv_R528,1.3451745761838647
354,d1snv_R531,1.3434384001633763
352,d1snv_R525,1.342675349124792
355,d1snv_R534,1.336410390195813
351,d1snv_R522,1.333910550524668
151,snv_R534,1.3297578516935038
59,GNDVI_p75,1.3284133394130635
150,snv_R531,1.3281850043495396
152,snv_R537,1.3275643477392536
153,snv_R540,1.3255508552403592
149,snv_R528,1.3244326837754181
33,logR460_R410_std,1.3242146046217775
356,d1snv_R537,1.3240217267496543
368,d1snv_R572,1.3238181783521576
40,R800_R460_mean,1.3222710050468307
367,d1snv_R569,1.322237291682691
154,snv_R543,1.322180231166406
155,snv_R546,1.3213068523928233
156,snv_R549,1.3188688502427905
350,d1snv_R519,1.3187136892567055
369,d1snv_R575,1.3182508675256772
157,snv_R551,1.3167856189487541
148,snv_R525,1.3151759481520944
158,snv_R554,1.3135308876827714
366,d1snv_R566,1.3126978520892667
